Film ID,Film Title,Photo URL
1,Toy Story (1995),https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,A Bug's Life (1998),https://image.tmdb.org/t/p/original/Ah3J9OJVc2CNCuH2zMydXy9fmIC.jpg
3,Toy Story 2 (1999),https://image.tmdb.org/t/p/original/yFWQkz2ynjwsazT6xQiIXEUsyuh.jpg
4,"Monsters, Inc. (2001)",https://image.tmdb.org/t/p/original/qjlbN6aK1qgeg3SspFVovT2D1Me.jpg
5,Finding Nemo (2003),https://image.tmdb.org/t/p/original/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg
6,The Incredibles (2004),https://image.tmdb.org/t/p/original/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg
7,Cars (2006),https://image.tmdb.org/t/p/original/u4G8EkiIBZYx0wEg2xDlXZigTOZ.jpg
8,Ratatouille (2007),https://image.tmdb.org/t/p/original/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg
9,WALL-E (2008),https://image.tmdb.org/t/p/original/fLXLNDsOBZxpNleWF9Z4hubxBUQ.jpg
10,Up (2009),https://image.tmdb.org/t/p/original/kJvOHdUQGM2PCx8Bm0UFRoVDVGY.jpg
11,Toy Story 3 (2010),https://image.tmdb.org/t/p/original/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg
12,Cars 2 (2011),https://image.tmdb.org/t/p/original/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg
13,Brave (2012),https://image.tmdb.org/t/p/original/1XAuDtMWpL0sYSFK0R6EZate2Ux.jpg
14,Monsters University (2013),https://image.tmdb.org/t/p/original/y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg
15,Inside Out (2015),https://image.tmdb.org/t/p/original/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg
16,The Good Dinosaur (2015),https://image.tmdb.org/t/p/original/8RSkxOO80btfKjyiC5ZiTaCHIT8.jpg
17,Finding Dory (2016),https://image.tmdb.org/t/p/original/3UVe8NL1E2ZdUZ9EDlKGJY5UzE.jpg
18,Cars 3 (2017),https://image.tmdb.org/t/p/original/fyy1nDC8wm553FCiBDojkJmKLCs.jpg
19,Coco (2017),https://image.tmdb.org/t/p/original/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg
20,Incredibles 2 (2018),https://image.tmdb.org/t/p/original/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg
21,Toy Story 4 (2019),https://image.tmdb.org/t/p/original/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg
22,Onward (2020),https://image.tmdb.org/t/p/original/f4aul3FyD3jv3v4bul1IrkWZvzq.jpg
23,Soul (2020),https://image.tmdb.org/t/p/original/pEz5aROvfy5FBW1OTlrDO3VryWO.jpg
24,Luca (2021),https://image.tmdb.org/t/p/original/9x4i9uKGXt8IiiIF5Ey0DIoY738.jpg
25,Turning Red (2022),https://image.tmdb.org/t/p/original/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg
26,Lightyear (2022),https://image.tmdb.org/t/p/original/b9t3w1loraDh7hjdWmpc9ZsaYns.jpg
27,Elemental (2023),https://image.tmdb.org/t/p/original/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg
28,Inside Out 2 (2024),https://image.tmdb.org/t/p/w600_and_h900_bestv2/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
